"country","count","parent"
"world","",""
"Argentina",3711,"world"
"Armenia",2,"world"
"Australia",1945,"world"
"Austria",2757,"world"
"Bosnia and Herzegovina",2,"world"
"Brazil",38,"world"
"Bulgaria",141,"world"
"Canada",252,"world"
"Chile",4280,"world"
"China",1,"world"
"Croatia",70,"world"
"Cyprus",10,"world"
"Czech Republic",11,"world"
"England",55,"world"
"France",16152,"world"
"Georgia",81,"world"
"Germany",2078,"world"
"Greece",440,"world"
"Hungary",141,"world"
"India",9,"world"
"Israel",483,"world"
"Italy",9812,"world"
"Lebanon",35,"world"
"Luxembourg",3,"world"
"Macedonia",12,"world"
"Mexico",65,"world"
"Moldova",57,"world"
"Morocco",28,"world"
"New Zealand",1264,"world"
"Peru",16,"world"
"Portugal",4636,"world"
"Romania",120,"world"
"Slovakia",1,"world"
"Slovenia",78,"world"
"South Africa",1205,"world"
"Spain",6010,"world"
"Switzerland",7,"world"
"Turkey",90,"world"
"Ukraine",5,"world"
"Uruguay",108,"world"
"USA",36956,"world"
